#title = mean sea level anomaly global ocean (66S to 66N) (Annual signals removed) ,,,,
#institution = NOAA/Laboratory for Satellite Altimetry ,,,,
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) ,,,,
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' ,,
#trend = 2.94 mm/year (no glacial isostatic adjustment correction) ,,,,
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2011.9087,,,29.66,
2011.922,,27.95,,
2011.9358,,,30.33,
2011.9495,,28.46,,
2011.9631,,,31.09,
2011.9765,,31.07,,
2011.9902,,,30.68,
2012.0037,,28.22,,
2012.0173,,,32.81,
2012.0309,,29.13,,
2012.0445,,,32.56,
2012.058,,30.84,,
2012.0716,,,33.98,
2012.0849,,31.49,,
2012.0987,,,32.35,
2012.1119,,31.56,,
2012.1258,,,33.78,
2012.127,,30.77,,
2012.1531,,,31.78,
2012.1672,,28.09,,
2012.1802,,,31.07,
2012.2073,,,32.4,
2012.2345,,,34.68,
2012.2616,,,32.55,
2012.2888,,,32.11,
2012.3159,,,32.37,
2012.343,,,33.11,
2012.3645,,36,,
2012.3702,,,35.31,
2012.3944,,33.77,,
2012.3973,,,34.53,
2012.4242,,35.94,,
2012.4245,,,33.92,
2012.4517,,,37.54,
2012.454,,38.18,,
2012.4745,,35.35,,
2012.4788,,,35.95,
2012.4949,,36.82,,
2012.506,,,35.54,
2012.5247,,37.51,,
2012.5331,,,38.8,
2012.5546,,40.23,,
2012.5603,,,40.03,
2012.5844,,37.7,,
2012.5874,,,37.98,
2012.6048,,40.33,,
2012.6145,,,37.5,
2012.6252,,35.99,,
2012.6417,,,33.56,
2012.6552,,35.49,,
2012.6688,,,36.24,
2012.6849,,35.8,,
2012.6961,,,35.21,
2012.7147,,37.43,,
2012.7232,,,38.68,
2012.735,,36.15,,
2012.7503,,,38.6,
2012.7555,,38.91,,
2012.7775,,,40.02,
2012.7852,,38.04,,
